Nome da Escola,Categoria,Zona,Porte,Etapas,Latitude,Longitude
COLEGIO ORIENTO,Privada,Urbana,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-407.488687,-41.598425
INSTITUTO BENJAMIN SOARES,Privada,Urbana,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-4075.132624,-416.640427
EEM MARIA MARINA SOARES,Pública,Urbana,Entre 501 e 1000 matrículas de escolarização,Ensino Médio,-407.513475,-41.620915
EEEP DEPUTADO JOSE MARIA MELO,Pública,Urbana,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-407.528867,-41.774767
EEM MONSENHOR ANTONINO,Pública,Urbana,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",-407.513167,-41.573505
BAIXA FRIA EEIF,Pública,Rural,,,-4078.668613,-421.425441
COLEGIO MUNICIPAL DOM PEDRO I,Pública,Urbana,Mais de 1000 matrículas de escolarização,Ensino Fundamental,-4075.182258,-416.221522
FRANCISCO JOSE FEITOSA EEIF,Pública,Urbana,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,-408663507.085294,-417596134.822816
JOAO BARRETO DOS SANTOS EEIF,Pública,Urbana,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,-407522233.333333,-416256166.666667
JOSE FLORENCIO SOARES EMEF,Pública,Urbana,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,-4.076758,-4.157825
MANOEL BANDEIRA DE MOURA EEF,Pública,Urbana,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,-4083.095932,-430.131457
JOAO MIGUEL DA FONSECA LOBO EEIF,Pública,Urbana,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,-407577266.666667,-415891333.333333
PEDRO HENRIQUE MAGALHAES CASTRO CEI,Pública,Urbana,Entre 201 e 500 matrículas de escolarização,Educação Infantil,-4074.395153,-415.397311
MARIA VALQUIRIA MESQUITA DE SOUSA CENTRO DE EDUCACAO INFANTIL,Pública,Urbana,Entre 201 e 500 matrículas de escolarização,Educação Infantil,-407530969.474465,-41745515.121147
CRECHE TREM DA ALEGRIA,Pública,Urbana,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-4076.094652,-415.663335
ANTONIO LUCINDA EEIF,Pública,Rural,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-408762400.712104,-417329012.916904
JOAO BATISTA RIBEIRO EEI,Pública,Rural,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-4081.985326,-430.567136
BURACO DAGUA EEIF,Pública,Rural,Até 50 matrículas de escolarização,Educação Infantil,-4083.520161,-421.989229
NUCLEO DE EDUCACAO DE JOVENS E ADULTOS PROFESSOR PAULO FREIRE,Pública,Urbana,Entre 201 e 500 matrículas de escolarização,Educação de Jovens Adultos,-4074.945222,-416.186378
AFONSO RODRIGUES BRITO EEIF,Pública,Rural,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-407539816.666667,-0.414344
PALMEIRA EEIF,Pública,Rural,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-4079.834402,-422.437735
JOSE GERARDO COELHO EEIF,Pública,Urbana,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-408107366.971672,-415906665.846705
SILVESTRE FERNANDES DE MESQUITA EEIF,Pública,Urbana,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-4084.300914,-428.415523
LUIS GONZAGA LOPES EEIF,Pública,Rural,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-407363416.666667,-421145833.333333
RAMADA EEIF,Pública,Rural,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-4080.032428,-425.431935
EMEIF ANA FERREIRA CHAVES,Pública,Rural,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-4.077494,-419417333.333333
METON CARVALHO DE MACEDO EEIF,Pública,Rural,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-4071.797849,-414.060473
JOAO EUFRASIO FILHO EEIF,Pública,Urbana,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-408252583.333333,-0.042714
BURITI APUA EEIF,Pública,Rural,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-4082.724883,-414.358727
ANTONIO FIRMINO DE AZEVEDO EEIF,Pública,Rural,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-4080.806595,-424.494011
SANTO ANTONIO DOS CAMELOS EEIF,Pública,Rural,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-4084.000428,-414.926777
BOQUEIRAO EEIF,Pública,Rural,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-4092.877778,-424.204924
SAO FELIX II EEIF,Pública,Rural,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,
TAMBOATAZINHO EEIF,Pública,Rural,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-4072.691769,-420.258645
FRANCISCO DE MELO FILHO EEIF,Pública,Rural,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-4074.702082,-417.838554
VARZEA REDONDA EEIF,Pública,Rural,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-4086.447254,-429.224208
SAO FELIX I EMEIF,Pública,Rural,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-407.533879,-42.261663
ALEGRE II EEIF,Pública,Rural,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-4097.828904,-426.216752
DESCOBERTA EEIF,Pública,Rural,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-4086.973267,-424.225532
CORREIOS EMEIF,Pública,Rural,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-407101696.170866,-415662538.725883
